stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixationn.started,grating.started,key_resp.started,fixationn.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
1,2,10,0.0264935,,0.0092702,0.0264935,0.5465457,0.5465457,0.5598541,0.8597646,1.2976285,left,-10,1,1,0.7469178,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
2,2,8,1.3098496,,1.2977181,1.3098496,1.8099284,1.8099284,1.8099284,2.1098278,2.37758,left,-8,1,1,0.5604405,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
3,2,6,2.3932713,,2.3776627,2.3932713,2.8932775,2.8932775,2.8932775,3.1931894,3.3778444,right,6,1,1,0.4792895,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
4,2,4,3.393179,,3.377929,3.393179,3.8932531,3.8932531,3.8932531,4.1931455,4.444077,right,4,1,1,0.5488303,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
5,2,2,4.4599577,,4.4441537,4.4599577,4.9433441,4.9433441,4.9600184,5.2431556,5.4775028,left,-2,1,1,0.5260876,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
6,2,1,5.4932101,,5.477605,5.4932101,5.993239,5.993239,5.993239,6.2932035,6.6107577,left,-1,1,1,0.6097665,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
7,2,1,6.6265178,,6.6108279,6.6265178,7.1099598,7.1099598,7.1267115,7.4097996,7.8609873,left,-1,1,1,0.743042,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
8,2,1,7.8765186,,7.861057,7.8765186,8.3767185,8.3767185,8.3767185,8.6764709,9.0773747,left,-1,1,1,0.6876266,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
9,2,1,9.0933451,,9.0774455,9.0933451,9.5766113,9.5766113,9.593325,9.8764969,10.094259,right,1,1,1,0.5017005,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
10,2,1,10.1098397,,10.0943297,10.1098397,10.6100191,10.6100191,10.6100191,10.9098532,11.7775068,left,-1,1,1,1.16228,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
11,2,1,11.7932077,,11.7776027,11.7932077,12.2765862,12.2765862,12.2933144,12.576536,12.8776866,left,-1,1,1,0.5961149,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
12,2,1,12.8932096,,12.8777577,12.8932096,13.3932801,13.3932801,13.3932801,13.6933302,14.3608234,left,-1,1,1,0.9509167,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
13,2,1,14.3765512,,14.3608942,14.3765512,14.8600284,14.8600284,14.8766528,15.159863,15.4774093,right,1,1,1,0.6110798,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
14,2,1,15.4932375,,15.4774816,15.4932375,15.9775754,15.9775754,15.9942484,16.2768105,16.7114505,left,-1,1,1,0.7231161,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
15,2,1,16.7268685,,16.7115598,16.7268685,17.2269053,17.2269053,17.2269053,17.5268672,17.9113421,left,-1,1,1,0.6718336,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
16,1,1,17.926745,,17.911456,17.926745,18.4268329,18.4268329,18.4268329,18.726783,19.2452951,left,-1,0,0,0.8169964,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
17,1,2,19.2601314,,19.2454114,19.2601314,19.7605363,19.7605363,19.7605363,20.0601468,20.6281992,left,-2,1,1,0.8535666,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
18,1,2,20.6435971,,20.628307,20.6435971,21.1435606,21.1435606,21.1435606,21.4435314,21.711419,right,2,1,1,0.56543,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
19,1,2,21.7269075,,21.7115246,21.7269075,22.2266573,22.2266573,22.2266573,22.5267298,22.760766,right,2,1,1,0.5248375,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
20,1,1,22.7766347,,22.7608388,22.7766347,23.2600742,23.2600742,23.2766427,23.5599346,23.7774333,right,1,1,1,0.5032697,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
21,1,1,23.7933192,,23.7775086,23.7933192,24.2766692,24.2766692,24.2934463,24.57663,24.9275373,left,-1,1,1,0.6441095,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
22,1,1,24.9432579,,24.9276072,24.9432579,25.4266844,25.4266844,25.4434046,25.7265866,25.9607908,right,1,1,1,0.5211507,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
23,1,1,25.9767432,,25.9608617,25.9767432,26.4600225,26.4600225,26.4768061,26.759921,27.0108181,right,1,1,1,0.534684,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
24,1,1,27.0266373,,27.0108869,27.0266373,27.5101013,27.5101013,27.5266833,27.81006,28.0941676,left,-1,1,1,0.5819798,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
25,1,1,28.1100509,,28.0942368,28.1100509,28.5933487,28.5933487,28.6101062,28.893276,29.4442668,left,-1,1,1,0.8438325,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
26,1,1,29.4599593,,29.4443669,29.4599593,29.9433809,29.9433809,29.960133,30.2432466,30.6942238,left,-1,1,1,0.734929,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
27,1,1,30.7100064,,30.6942941,30.7100064,31.193501,31.193501,31.210055,31.4933899,31.7776762,right,1,1,1,0.5790269,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
28,0.5,1,31.7933191,,31.7777659,31.7933191,32.2933597,32.2933597,32.2933597,32.5933323,32.8108299,left,-1,0,0,0.5124222,671551,1,2024-09-12_12h41.32.003,adaptive_staircase,2024.1.5,None,2024-09-12 12h41.35.632863 +0530
